task_id,taskName,category,createdAt,updatedAt,deletedAt
1,Java,learning,2026-05-16T21:07:53,2026-05-16T21:07:53,null
2,買い物,家事,2005-04-01T12:07:53,2005-08-01T12:07:53,2026-05-24T11:22:52
3,書類作成,仕事,2015-01-01T12:07:53,2015-04-01T12:07:53,null
4,ごみ捨て,日常,2026-05-17T01:00:15,2026-05-17T01:00:15,null
5,掃除,日常,2005-04-01T12:00:00,2026-05-23T20:02:47,null
6,メール送信,仕事,2015-01-01T12:00:00,2015-04-01T12:00:00,null
7,SQL,learning,2026-05-17T01:10:42,2026-05-17T01:10:42,null
8,買い物,家事,2005-04-01T12:00:00,2005-08-01T12:00:00,null
9,書類作成,仕事,2015-01-01T12:00:00,2015-04-01T12:00:00,null
10,セキュリティ,learning,2026-05-17T01:15:20,2026-05-19T23:56:35,null
11,買い物,家事,2005-04-01T12:00:00,2005-08-01T12:00:00,null
12,書類作成,仕事,2015-01-01T12:00:00,2015-04-01T12:00:00,null
13,メール文書作成,日常,2026-05-17T19:38:09,2026-05-17T19:38:09,null
14,自炊,家事,2026-05-19T23:46:56,2005-08-01T12:00:00,null
15,書類作成,仕事,2015-01-01T12:00:00,2015-04-01T12:00:00,null
16,JavaScript,leatning,2026-05-18T23:30:48,2026-05-18T23:30:48,null
17,買い物,日常,2005-04-01T12:00:00,2026-05-23T19:38:20,2026-05-24T01:27:12
18,書類作成,仕事,2015-01-01T12:00:00,2015-04-01T12:00:00,null
19,C++,learning,2026-05-24T12:57:48,2026-05-24T12:57:48,2026-05-24T13:09:46
20,買い物,家事,2005-04-01T12:00:00,2005-08-01T12:00:00,null
21,書類作成,仕事,2015-01-01T12:00:00,2015-04-01T12:00:00,null
